Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",165.783004,-48.606290,0.000000,top
"C2","10uF","C_0805_2012Metric",167.131004,-59.506290,0.000000,top
"C3","1uF","C_0402_1005Metric",166.231004,-61.056290,0.000000,top
"C4","0.1uF","C_0402_1005Metric",167.683004,-67.675286,0.000000,top
"C5","0.1uF","C_0402_1005Metric",162.133004,-71.625286,-90.000000,top
"C6","0.1uF","C_0402_1005Metric",166.581004,-62.956290,0.000000,top
"C7","0.1uF","C_0402_1005Metric",156.128004,-67.650286,180.000000,top
"C8","0.1uF","C_0402_1005Metric",157.181004,-62.956290,180.000000,top
"C9","0.1uF","C_0402_1005Metric",161.933004,-60.145286,90.000000,top
"C10","0.1uF","C_0402_1005Metric",165.811004,-62.006290,0.000000,top
"C11","1uF","C_0402_1005Metric",163.081004,-71.536290,-90.000000,top
"C12","0.1uF","C_0402_1005Metric",164.831004,-60.626290,90.000000,top
"C13","0.1uF","C_0402_1005Metric",160.983004,-59.795286,90.000000,top
"C14","33pF","C_0402_1005Metric",156.535004,-72.724282,90.000000,top
"C15","33pF","C_0402_1005Metric",161.133004,-73.975286,90.000000,top
"C16","0.1uF","C_0402_1005Metric",159.075504,-55.656290,0.000000,top
"C17","1uF","C_0402_1005Metric",157.431004,-89.556290,-90.000000,top
"C18","1uF","C_0402_1005Metric",158.381004,-89.556290,-90.000000,top
"C19","1uF","C_0402_1005Metric",162.281004,-89.556290,-90.000000,top
"C20","1uF","C_0402_1005Metric",163.231004,-89.556290,-90.000000,top
"C21","1uF","C_0402_1005Metric",164.181004,-89.556290,-90.000000,top
"C22","1uF","C_0402_1005Metric",165.131004,-89.556290,-90.000000,top
"C23","1uF","C_0402_1005Metric",166.081004,-89.556290,-90.000000,top
"C24","1uF","C_0402_1005Metric",167.031004,-89.556290,-90.000000,top
"C25","1uF","C_0402_1005Metric",167.981004,-89.556290,-90.000000,top
"C26","1uF","C_0402_1005Metric",168.931004,-89.556290,-90.000000,top
"C27","4.7uF","C_0603_1608Metric",168.558004,-83.025286,180.000000,top
"C28","4.7uF","C_0603_1608Metric",159.633004,-80.525286,-90.000000,top
"C29","0.1uF","C_0402_1005Metric",138.187294,-136.715286,0.000000,top
"C30","33pF","C_0402_1005Metric",143.957294,-135.685286,-90.000000,top
"D1","KT-0805G","LED_0805_2012Metric",168.133004,-31.087786,-90.000000,top
"D2","MBR0530","D_SOD-123",165.833004,-86.175286,90.000000,top
"D3","MBR0530","D_SOD-123",168.183004,-86.175286,-90.000000,top
"D4","MBR0530","D_SOD-123",170.583004,-86.175286,90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",161.783004,-28.525286,180.000000,top
"J2","Conn_01x15","PinHeader_PAD_1x15_P2.54mm_Vertical",133.408004,-50.065260,0.000000,top
"J3","Conn_01x15","PinHeader_PAD_1x15_P2.54mm_Vertical",190.158004,-85.622915,180.000000,top
"L1","NFC Antenna","25x35mm-NFC",179.609794,-125.205336,-90.000000,top
"L2","68uH","L_Changjiang_FNR6028S",161.333004,-85.300286,0.000000,top
"Q2","IRLML2060","SOT-23",165.283004,-81.112786,-90.000000,top
"R1","5.1K","R_0402_1005Metric",163.909502,-34.935286,-90.000000,top
"R2","5.1K","R_0402_1005Metric",159.509502,-34.935286,-90.000000,top
"R3","22","R_0402_1005Metric",162.881004,-60.806290,-90.000000,top
"R4","22","R_0402_1005Metric",163.881004,-60.806290,-90.000000,top
"R5","10K","R_0402_1005Metric",138.748004,-70.383790,180.000000,top
"R6","1K","R_0402_1005Metric",161.133004,-72.025286,90.000000,top
"R7","220","R_0402_1005Metric",168.133004,-33.337786,180.000000,top
"R8","10K","R_0402_1005Metric",151.295504,-55.606290,180.000000,top
"R9","1K","R_0402_1005Metric",138.793004,-81.625286,0.000000,top
"R10","10K","R_0402_1005Metric",138.157294,-134.715286,0.000000,top
"R11","10K","R_0402_1005Metric",166.233004,-78.190286,90.000000,top
"R12","0.47","R_0402_1005Metric",164.333004,-78.200286,90.000000,top
"R13","10K","R_0402_1005Metric",137.277294,-135.715286,0.000000,top
"R14","10K","R_0402_1005Metric",138.167294,-137.715286,0.000000,top
"SW1","TSA016A2526B","SW_Push_SPST_TSA016",139.333004,-67.208790,-90.000000,top
"SW2","TSA016A2526B","SW_Push_SPST_TSA016",139.333004,-78.458790,-90.000000,top
"SW3","TSA016A2526B","SW_Push_SPST_TSA016",139.333004,-55.953790,-90.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",161.892006,-66.406290,0.000000,top
"U2","USBLC6-2SC6","SOT-23-6",161.722002,-36.035286,-90.000000,top
"U3","NCP1117ST33T3G","SOT-223-3_TabPin2",166.783004,-54.056290,-90.000000,top
"U4","W25Q32JVSS","SOIC-8_5.3x5.3mm_P1.27mm",155.195504,-58.656290,0.000000,top
"U5","Conn","LCSC_1x24-1MP_P0.5mm_Horizontal",161.704506,-94.525290,0.000000,top
"U6","ST25DV04K-JFR6D3","ST_UFDFPN-12-1EP_3x3mm_P0.5mm_EP1.4x2.55mm",141.294794,-136.365286,180.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",158.833004,-73.175286,90.000000,top
