Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF, 50V, X7R (0805)","C_0805_2012Metric",136.000000,-93.000000,180.000000,top
"C2","22uF, 10V, X7R (1206)","C_1206_3216Metric",138.000000,-96.500000,90.000000,top
"C3","10pF, 50V, X7R (0805)","C_0805_2012Metric",138.100000,-101.000000,90.000000,top
"D1","SS14","D_SMA",130.000000,-93.000000,0.000000,top
"D2","SS14","D_SMA",121.807500,-92.980000,180.000000,top
"J1","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Horizontal",141.500000,-97.790000,0.000000,top
"J2","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Horizontal",115.425000,-102.850000,180.000000,top
"J3","Conn_01x02_Pin","SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm",126.275000,-98.025000,180.000000,top
"J4","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Horizontal",115.425000,-96.675000,180.000000,top
"L1","LQW15AN1N3C80D","IND_LQW15_MUR",133.900000,-96.975000,0.000000,top
"Q1","2N7002","SOT-23-3",124.300000,-103.600000,0.000000,top
"R1","1MOhm","R_0805_2012Metric",134.500000,-100.000000,-90.000000,top
"R2","604 kOhm","R_0805_2012Metric",133.450000,-103.350000,180.000000,top
"R3","10kOhm","R_0805_2012Metric",129.375000,-103.375000,0.000000,top
"R4","1MOhm","R_0805_2012Metric",119.775000,-103.725000,-90.000000,top
"U1","AP3015AKTR-G1","SOT23-5_1P55X2P9_DIO",130.175000,-97.750000,0.000000,top
